"(Tipo documental) 
Norma - Función o Proceso","(Tipo documental) 
Código del Procedimiento","(Tipo documental)  
Código del Formato","(Tipo documental) 
Nombre del registro o documento de archivo","(Tipo documental) 
Definición","(Tipo documental) 
IDIOMA","Soporte
Análogo","Soporte
Digital","Soporte
Electrónico",Descripción del Soporte,"Origen
Interno","Origen
Externo","(Clasificación documental)
Localización del documento o registro","(Clasificación documental)
Cuenta con clasificación
SI / NO","(Clasificación documental)
Serie","(Clasificación documental) 
Subserie","(Clasificación documental)
Unidad Administrativa Responsable - Dependencia"
"SOLICITUD - TRÁMITE Y LEGALIZACIÓN DE COMISIONES DE
SERVICIOS O ESTUDIOS",P-DA-006,R-DA-031,Liquidación de Viáticos,Información detallada de los viáticos estarán destinados a proporcionarle al servidor público manutención y alojamiento.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,SI,COMISIONES DE SERVICIOS Y/O ESTUDIOS,SIN ESTABLECER,Dirección Administrativa - Talento Humano
"SOLICITUD - TRÁMITE Y LEGALIZACIÓN DE COMISIONES DE
SERVICIOS O ESTUDIOS",P-DA-006,R-DA-032,Legalización de la Comisión,Información detallada sobre los gastos realizados durante la participación en una comisión.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,SI,COMISIONES DE SERVICIOS Y/O ESTUDIOS,SIN ESTABLECER,Dirección Administrativa - Talento Humano
"SOLICITUD - TRÁMITE Y LEGALIZACIÓN DE COMISIONES DE
SERVICIOS O ESTUDIOS",P-DA-006,R-DA-033,Resolución de Comisión de Servicios (Copia),Documento de aprobación de la respectiva comisión,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,SI,COMISIONES DE SERVICIOS Y/O ESTUDIOS,SIN ESTABLECER,Dirección Administrativa - Talento Humano
"FORMULACIÓN Y SEGUIMIENTO DE ACUERDOS DE
GESTIÓN",P-DA-007,R-DA-073,Acuerdo de Gestión “A”,"El establecimiento de una relación escrita y firmada entre el superior jerárquico y el respectivo gerente público - con el fin de fijar los compromisos y resultados frente a la visión - misión y objetivos del organismo, se pacta por un periodo determinado e incluye la definición de indicadores a través de los cuales se evalúa el mismo.",Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,SI,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
"FORMULACIÓN Y SEGUIMIENTO DE ACUERDOS DE
GESTIÓN",P-DA-007,R-DA-074,Acuerdo de Gestión “B”,"El establecimiento de una relación escrita y firmada entre el superior jerárquico y el respectivo gerente público - con el fin de fijar los compromisos y resultados frente a la visión - misión y objetivos del organismo, se pacta por un periodo determinado e incluye la definición de indicadores a través de los cuales se evalúa el mismo.",Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,SI,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
GESTIÓN DE TIC'S,P-DT-001,R-DT-002,Autorización Retiro Módulos de Seguimiento SAM de Producción,Muestra la autorización para el retiro de los módulos de seguridad de la Caja fuerte de la entidad.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la Subgerencia Económica,NO,No identificada,N/A,Subgerencia Económica
GESTIÓN DE TIC'S,P-DT-001,R-DT-003,Acta de Entrega Módulos de Seguridad SAM  de Producción,Registra el ingreso del módulo de seguridad ,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la Subgerencia Económica,NO,No identificada,N/A,Subgerencia Económica
GESTIÓN DE TIC'S,P-DT-002,N/A,Copias de Seguridad de Bases,Documento que contiene la información existente en las BD de la Entidad,Español,,X,,DVD,X,,Ubicado fuera de la entidad - en custodia.,SI,COPIAS DE SEGURIDAD DE LA INFORMACIÓN BASES DE DATOS,N/A,Dirección de TIC'S
GESTIÓN DE TIC'S,P-DT-003,R-DT-004,Especificaciones de Requerimientos de Software - ERS,Presenta la consolidación de las necesidades del software que tiene una dependencia,Español,X,,,Papel,X,,Ubicado en el archivo de gestión de la Dirección de TIC's,SI,PROYECTOS DE ADQUISISCIÓN TECNOLOGÍA,N/A,Dirección de TIC'S
GESTIÓN DE TIC'S,P-DT-003,R-DT-005,Plan y Ejecución de Pruebas de Aceptación,Registra el conjunto de pruebas necesarias para validad cada requerimiento,Español,X,,,Papel,X,,Ubicado en el archivo de gestión de la Dirección de TIC's,SI,PROYECTOS DE ADQUISISCIÓN TECNOLOGÍA,N/A,Dirección de TIC'S
ESTADO DE TESORERIA ANUAL,P-SE-001,R-SE-001, Estado de Tesorería,Contiene la suma de los valores en caja - bancos e inversiones temporales a 31 de diciembre del año en cierre.,Español,X,,X,Papel y Electrónico,X,,Carpeta de Informes de Tesorería,NO,CONCILIACIONES,Conciliaciones bancarias,SUBGERENCIA ECONÓMICA - Tesorería
ADMINISTRACIÓN DE INVERSIONES ,P-SE-002,R-SE-002,Acta de Inversiones,Documento en el cual se realiza una descripción diaria de las operaciones realizadas - por concepto de liquidación y compra de títulos valores del portafolio de inversiones de Transmilenio S.A. - cada vez que se constituya o se venza - adicionalmente posee una descripción de la fuente de los recursos utilizados para la compra del título.  ,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,INVERSIONES,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Tesorería
ADMINISTRACIÓN DE INVERSIONES ,P-SE-002,R-SE-003,Actas Mensuales de Inversiones,Documento en el cual se realiza una descripción de las operaciones realizadas durante el mes por concepto de liquidación y compra de títulos valores de TRANSMILENIO S.A.  ,Español,X,,,Papel,,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,INVERSIONES,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Tesorería
ACTUALIZACIÓN Y PROYECCIÓN DE LA TARIFA TÉCNICA DEL SISTEMA TRANSMILENIO Y TARIFAS DE LOS AGENTES DEL SISTEMA ,P-SE-003,SIN ESTABLECER,SIN ESTABLECER,Contiene toda la información y conceptos utilizados para realizar las respectivas actualizaciones a las tarifas de la operación: Tarifa Técnica - tarifa al Usuario - Tarifa Única e Integrada - Tarifa Alimentación - Tarifa Recaudo - Tarifa Troncal y Tarifa Real.  ,Español,X,,X,Papel y Documento Electrónico,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,ACTUALIZACIONES TARIFARIAS SITP,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Planeación tarifaria
"
VIGENCIAS FUTURAS
",P-SE-005,SIN ESTABLECER,Solicitud Certificado de Disponibilidad Presupuestal Convenio 020 de 2001,Documento que justifica la emisión de un certificado de disponibilidad presupuestal - cumpliendo con los requisitos establecidos para la expedición del mismo.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,CERTIFICADOS,Certificado de disponibilidad presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
"
VIGENCIAS FUTURAS
",P-SE-005,SIN ESTABLECER,Certificación Junta Directiva,documento requerido para presentar la solicitud de aprobación de Vigencias Futuras ante el CONFIS.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,CERTIFICADOS,Certificado de disponibilidad presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
"
VIGENCIAS FUTURAS
",P-SE-005,SIN ESTABLECER,Plan Financiero Plurianual,Es un instrumento de planificación y gestión financiera de mediano plazo. Para su elaboración se tomarán en consideración las proyecciones de ingresos - gastos - superávit o déficit y su financiamiento,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,PLANES ,Plan Financiero Plurianual,SUBGERENCIA ECONÓMICA - Presupuesto
CÁLCULO DE LA REMUNERACIÓN A LOS AGENTES DEL SITP Y SISTEMA TRANSMILENIO,P-SE-006,R-SE-004,Remisión Documento a la Fiducia,Documento que certifica el envío del cálculo realizado por Transmilenio para la remuneración de los agentes del SITP y Sistema Transmilenio,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,LIQUIDACIONES,Liquidación previa de pagos semanales a operadores SITP y Transmilenio,SUBGERENCIA ECONÓMICA - Presupuesto
CONCILIACION DE VENTAS Y CONSIGNACIONES,P-SE-007,R-SE-005,Conciliación de ventas y consignaciones,es el procedimiento base para establecer el valor real de las ventas del Sistema y el recaudo efectivo para efectos de realizar la liquidación y el pago a los Agentes del Sistema. ,Español,X,,X,Papel y Documento Electrónico,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Recaudo
CONCILIACION DE VENTAS Y CONSIGNACIONES,P-SE-007,R-SE-006 ,Auxiliar de Conciliación de Ventas,documento en el que se consignan los registros de las conciliaciones de ventas.,Español,,,x,Excel,x,,Ubicado en el Archivo de Gestión de la subgerencia económica,NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Recaudo
PAGO A TERCEROS,P-SE-008,NA,Orden de Pago - Egreso,Documento que registra La ordenación del pago es el mecanismo mediante el cual el cumplimiento a satisfacción se los compromisos adquiridos y - en consecuencia - se procede a transferir los recursos al contratante bajo la modalidad de pago establecida en el contrato.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,COMPROBANTES,Comprobantes de Egreso,SUBGERENCIA ECONÓMICA - Tesorería
ELABORACIÓN DE FACTURAS,P-SE-009,NA,Factura,Documento utilizado para el registro de los ingresos de Transmilenio S.A.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,COMPROBANTES,Comprobantes de Ingreso,SUBGERENCIA ECONÓMICA - Tesorería
PROGRAMACIÓN PRESUPUESTAL,P-SE-010,R-SE-007,Certificación Junta Directiva,documento requerido para presentar la solicitud de aprobación de Vigencias Futuras ante el CONFIS.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,ANTEPROYECTO DE PRESUPUESTO,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Certificado de Disponibilidad Presupuestal,Documento mediante el cual se garantiza el principio de legalidad - es decir - la existencia del rubro y la apropiación presupuestal suficiente para atender un gasto determinado.,Español,X,,,Papel,X,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Certificado de Registro Presupuestal,El registro presupuestal es la operación mediante la cual se perfecciona el compromiso - garantizando que los recursos comprometidos no sean desviados a ningún otro fin.,Español,X,,X,,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Informe de Ejecución del Presupuesto de Ingresos,Documento que se elabora con cierres periódicos mensuales y contiene la totalidad de los ingresos por rubros registrados en cada período por mes y acumulados,Español,X,,X,Papel y Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,INFORMES,Informes a Otras Entidades ,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Informe Presupuestal de Gastos e Inversión,Documento que se elabora con cierres periódicos mensuales y contiene las apropiaciones de los diferentes rubros con sus modificaciones y la totalidad de gastos y giros de cada período por mes y acumulados.,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,INFORMES,INFORMES DE GESTIÓN,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Liquidación de Saldos,documento que se elabora periódicamente sobre las disponibilidades y registros cuando los compromisos son menores y cuando se realiza la liquidación respectivamente.,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Cuentas por Pagar Constituidas,Inventario de Compromisos que al final de cada vigencia quedan pendientes de cancelar,Español,X,,X,,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,NA,Libro Ejecución de ingresos,Relación de los diferentes ingresos por concepto rubro y valor registrados en cada uno de los diferentes períodos.,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,COMPROBANTES,Comprobantes de Ingreso,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,R-SE-007,Certificación Junta Directiva,Documento mediante el cual se certifica el tema - el valor y los rubros que afectan la decisión.,Español,,,X,Papel,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,R-SE-008,Solicitud de Disponibilidad Presupuestal,Documento mediante el cual las diferentes dependencias solicitan los requerimientos establecidos en el plan de contratación.,Español,X,,,Papel,,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,CERTIFICADOS,Certificados de registro presupuestal,SUBGERENCIA ECONÓMICA - Presupuesto
EJECUCIÓN PRESUPUESTAL,P-SE-011,R-SE-009,Solicitud de Modificación presupuestal,Documento mediante el cual las diferentes dependencias solicitan modificaciones a los requerimientos establecidos en el plan de contratación.,Español,X,,,,,,Ubicado en el Archivo de Gestión de la subgerencia económica,SI,RESOLUCIONES ,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Presupuesto- GERENCIA GENERAL
GESTION DE VIGENCIAS FUTURAS,P-SE-012,R-SE-010,Escenario Vigencias Futuras,son las aprobaciones dadas por el CONFIS distrital para los diferentes proyectos y gastos,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Presupuesto
GESTION DE VIGENCIAS FUTURAS,P-SE-012,R-SE-011,Solicitud de Vigencias Futuras,Diligenciamiento de los formatos establecidos para tal efecto por el CONFIS distrital y la secretaría de Hacienda.,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Presupuesto
GESTION DE VIGENCIAS FUTURAS,P-SE-012,R-SE-012,Discriminado Vigencias Futuras,ejecución periódica de los diferentes compromisos constituidos como vigencias futuras,Español,X,,X,Papel y Documento Electrónico,,,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Presupuesto
ANÁLISIS FINANCIERO Y ECONÓMICO DE CONCESIONES,P-SE-013,NA,NA,NA,Español,,,,NA,,,SIN ESTABLECER,NO,SIN ESTABLECER,SIN ESTABLECER,SUBGERENCIA ECONÓMICA - Economía y finanzas de las concesiones
"CAUSACIÓN CONTABLE
DE CUENTAS POR PAGAR",P-SE-014,NA,Comprobante de Causación Cuenta de Cobro o Factura,Documento que registra los hechos económicos cuando suceden - sin importar si hay una erogación o un ingreso inmediato como consecuencia de la realización del hecho económico.,Español,X,,X,Papel y Documento Electrónico,,X,Ubicado en el Archivo de Gestión de la subgerencia económica - Sistema Administrativo y Financiero (SIAF),SI,COMPROBANTES,Comprobantes de Causación,SUBGERENCIA ECONÓMICA
"CONCILIACIONES BANCARIAS
EXTRACTO BANCARIO VERSUS LIBRO AUXILIAR",P-SE-015,NA,NA,NA,Español,,,,NA,X,,SIN ESTABLECER,SI,CONCILIACIONES,Conciliaciones bancarias,SUBGERENCIA ECONÓMICA
"APOYO A LA GESTION DE INFORMACION
ESTADISTICA DE CAMPO",P-ST-001,NA,Estadísticas de Campo,Documento que registra la información estadística recopilada en campo necesaria como apoyo al procedimiento de gestión de información estadística de campo - la cual requieren las áreas para soportar la planeación y supervisión del Sistema Integrado de Transporte Publico SITP en cumplimiento de los estándares técnicos y metodológicos de calidad aplicables.,Español,,,X,Documento Electrónico,X,,Carpeta en serverseg Subgerencia Técnica de Servicios,SI,ESTADÍSTICAS,Estadísticas del SITP,Subgerencia Técnica y de Servicios - Proyecciones y Estadísticas
"PROCEDIMIENTO PARA LA ELABORACION DE ESTUDIOS DE
TRANSPORTE DE LARGO - MEDIDANO Y CORTO PLAZO EN
SUS COMPONENTES ZONAL - TRONCAL Y MODOS
COMPLEMENTARIOS",P-ST-002,NA,Plan del Sistema Integrado de Transporte,Documento que determina medidas de corto - mediano y largo plazo con el fin de mejorar la prestación del servicio de transporte público de la ciudad y generar una transformación en la operación tanto en el componente troncal - zonal y modos complementarios del Sistema Integrado de Transporte Público de la Ciudad de Bogotá.,Español,,,X,Documento Electrónico,X,,Carpeta en serverseg Subgerencia Técnica de Servicios,SI,PLANES,Plan del Sistema Integrado de Transporte,Subgerencia Técnica y de Servicios - Planeación del Transporte
"ACREDITACIÓN Y VINCULACIÓN DE VEHÍCULOS
PROVENIENTES DEL TPC AL SITP",P-ST-003,R-ST-001,NA,Documento que determinar las actividades y responsabilidades para la acreditación y vinculación de un vehículo del Transporte Público Colectivo -TPC- de pasajeros al Sistema Integrado de Transporte Publico –SITP- en su componente zonal (Urbano - Complementario o Especial)NA,Español,,,X,Documento Electrónico,,,Licitación TMSA LP-04 2009,SI,SIN ESTABLECER,SIN ESTABLECER,Subgerencia Técnica y de Servicios - Infraestructura
"PROCEDIMIENTO PARA LA ETAPA DE IMPLEMENTACIÓN DE
PARADEROS ZONALES DEL SITP",P-ST-004,NA,NA,NA,Español,,,X,NA,,,NA,NO,SIN ESTABLECER,SIN ESTABLECER,Subgerencia Técnica y de Servicios - Infraestructura
"TRÁMITE DE ACCIONES DE TUTELA
","P-SJ-001
",N/A,Acción de Tutela,Es la garantía constitucional del derecho que tiene toda persona a la protección judicial de sus derechos fundamentales a través de un recurso efectivo.,Español,X,,,Papel ,,X,Archivo de gestión oficina de  la Subgerencia Jurídica,NO,PROCE3OS,Procesos de acción de tutela,"SUBGERENCIA JURÍDICA - Defensa Judicial
"
"TRÁMITE DE CONCILIACIONES Y MECANISMOS 
ALTERNATIVOS DE SOLUCIÓN DE CONFLICTOS","P-SJ-002
",N/A, Actuaciones administrativas,"son la vía expedita para resolver las 
cuestiones que puedan producirse en la aplicación de las reglas de procedimiento 
administrativo. (Art. 2º ley 58 de 1982 y art. - 3º del C.C.A.) ",Español,X,,,Papel ,,X,Archivo de gestión oficina de  la Subgerencia Jurídica,NO,PROCESOS,Procesos de actuaciones administrativas,"SUBGERENCIA JURÍDICA - Defensa Judicial
"
"TRÁMITE DE DEMANDAS CONTENCIOSO 
ADMINISTRATIVAS - LABORALES Y CIVILES
","P-SJ-003
",N/A,N/A,NA,Español,,,,NA,,,NA,NO,PROCESOS,Procesos Judiciales,SUBGERENCIA JURÍDICA 
GESTIÓN DE MERCADEO,P-SN-001,N/A,Comunicación de solicitud,Documento que registra la solicitud formal de autorización para el uso de la marca TM.,Español,X,,,PAPEL  ,,X,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-001,R-DA-005,Comunicación Oficial Externa Enviada,Documento que registra información detallada de la utilización de la marca o marcas,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-001,,Acuerdo de uso de Marca,Documento mediante el cual se autoriza la solicitud el permiso para el uso de la marca TM,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-001,R-DA-005,Comunicación Oficial interna de solicitud de factura,Documento que registra distintos tipos de información entre dependencias,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,N/A,Comunicación de solicitud,Documento mediante el cual se solicita el arrendamiento de una parte de la infraestructura,Español,X,,,PAPEL  ,,X,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,N/A,Comunicación oficial de intención de parte del cliente,Registra la intención de parte del cliente para realización de un contrato de arrendamiento,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,N/A,Comunicación oficial de parte del cliente con las especificaciones técnicas ,Registra las especificaciones de los equipos y fotomontaje,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,N/A,Acuerdo de uso de marca,Documento que registra información detallada de la utilización de la marca o marcas,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,AUTORIZACIONES DE USO DE LA MARCA,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,R-DA-005,Comunicación oficial externa enviando el modelo del contrato,Documento que registra distintos tipos de información entre entidades ,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,R-SJ-001-2,Estudio Técnico y Económico,Documento que contiene información que soporta una contratación,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,R-SJ- ,Solicitud de Análisis Jurídico,Formato utilizado para solicitar el análisis jurídico de una contratación,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,R-SJ-005,Solicitud de Contratación,Documento mediante el cual se oficializa la solicitud de realizar un contrato a la subgerencia Jurídica,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-002,N/A,Contrato,Ver jurídica,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia Jurídica
GESTIÓN DE MERCADEO,P-SN-003,N/A,Comunicación oficial de solicitud de visita técnica,Documento que registra distintos tipos de información entre entidades,Español,X,,,PAPEL  ,,X,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,R-DA-005,Comunicación oficial externa pidiendo al cliente información perfil de asistentes y temas de interés,Registra solicitud de información,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,R-DA-005,Comunicación oficial enviando la Agenda Preliminar,Documento que remite la agenda preliminar al cliente,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,N/A,Agenda Preliminar,Documento que describe las actividades propuestas a realizar durante la visita técnica,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,R-DA-005,Comunicación oficial de envío de la Agenda Preliminar,Documento que registra distintos tipos de información entre entidades ,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,N/A,Comunicación de parte del cliente confirmando o negando la agenda preliminar ,Documento que registra distintos tipos de información entre entidades ,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,N/A,Contrapuesta (Opcional),Documento que describe las actividades propuestas a realizar durante la visita técnica ajustadas a las expectativas del cliente.,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,R-SN-006,Encuestas ,Formatos utilizados para evaluar una actividad,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-003,N/A,Fotografías,Imágenes que dan fe de la realización de un evento,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CAPACITACIONES TÉCNICAS ESPECIALIZADAS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,N/A,Informe Mensual de Interventoría,Documento que describe las actividades realizadas por el contratista,Español,X,,,PAPEL  ,,X,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,R-DA-005,Comunicación Oficial Externa solicitando ajuste en el informe (opcional),Oficio con el que solicita información adicional al contratista,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,R-OP-004,Acta de reunión,Registro del seguimiento a la Gestión del Contratista,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,N/A,Informe Mensual ajustado (opcional),Documento que describe las actividades realizadas por el contratista,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,R-SJ-023,Certificado del cumplimiento,Formato mediante el cual se autoriza el pago de facturas de un contratista,Español,X,,,PAPEL  ,X,,Subgerencia Jurídica (Copia),SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
GESTIÓN DE MERCADEO,P-SN-004,R-DA-006,Comunicación Oficial interna,Comunicación que remite al certificado de cumplimiento,Español,X,,,PAPEL  ,X,,Subgerencia de Desarrollo de Negocios ,SI,CONTRATOS,N/A,Subgerencia de Desarrollo de Negocios 
